"No.","Zone Name","Zone Channel Member","A Channel","B Channel"
"41","Seattle-Tiger","Tiger AudioTest2|Tiger BC 1|Tiger Bridge 2|Tiger Cascades E|Tiger I-5|Tiger Idaho 1|Tiger Local 1|Tiger Local 2|Tiger Net 2|Tiger Oregon 1|Tiger Parrot|Tiger PNW 1|Tiger PNW 2|Tiger PNW Reg 2|Tiger TAC 1|Tiger TAC 310|Tiger TAC Eng|Tiger USA 2|Tiger Wash 1|Tiger Wash 2|Tiger Worldwide|Tiger WW English","Tiger Wash 1","Tiger Wash 2"
"42","Simp Ana-Digital","aUHF 446.000|aVHF 146.52|dUHF S1 441.00|dUHF S2 446.5|dUHF S3 446.075|dUHF S4 433.45|dVHF S1 145.79|dVHF S2 145.51","aUHF 446.000","dVHF S1 145.79"
"43","Sno-Rattlesnake","Sno Audio Test 2|Sno BC 1|Sno Bridge 2|Sno CascadesEast|Sno Comm 1|Sno I-5|Sno Idaho 1|Sno Local 1|Sno Local 2|Sno Net 2|Sno Oregon 1|Sno Parrot|Sno PNW 1|Sno PNW 2|Sno PNW Reg 2|Sno TAC 1|Sno TAC 2|Sno TAC 3|Sno TAC 310|Sno USA 2|Sno Wash 1|Sno Wash 2","Sno CascadesEast","Sno Wash 2"
"44","Spok-Lookout UHF","Spo Audio Test|Spo BC 1|Spo CascadesEast|Spo Hawaii 1|Spo I-5|Spo Idaho 1|Spo Local 1|Spo Local 2|Spo Mountain 2|Spo NA 2|Spo Net 2 UHF|Spo Oregon 1|Spo Parrot 1|Spo PNW 1|Spo PNW 2|Spo PNW Reg 2|Spo SNARS 2|Spo TAC 1|Spo TAC 2|Spo TAC 3|Spo TAC 310|Spo TAC 311|Spo TAC 312|Spo TAC 313|Spo TAC 314|Spo TAC 315|Spo TAC 316|Spo TAC 317|Spo TAC 318|Spo TAC 319|Spo USA 2|Spo Wash 1|Spo Wash 2","Spo CascadesEast","Spo Wash 2"
"45","Spok-Krell UHF","Spo-BC 1|Spo-CascadesE|Spo-Hawaii 1|Spo-I5|Spo-Idaho 1|Spo-Local 1|Spo-Local 2|Spo-Mountain 2|Spo-NA 2|Spo-Oregon 1|Spo-Parrot 1|Spo-PNW 1|Spo-PNW 2|Spo-PNW Reg 2|Spo-SNARS 2|Spo-TAC 1|Spo-TAC 2|Spo-TAC 3|Spo-TAC 310|Spo-TAC 311|Spo-TAC 312|Spo-TAC 313|Spo-TAC 314|Spo-TAC 315|Spo-TAC 316|Spo-TAC 317|Spo-TAC 318|Spo-TAC 319|Spo-USA 2|Spo-Wash 1|Spo-Wash 2","Spo-CascadesE","Spo-Wash 2"
"46","Spok-Krell VHF","Spo_ BC 1|Spo_CascadesEast|Spo_Hawaii 1|Spo_I5|Spo_Idaho 1|Spo_Local 1|Spo_Local 2|Spo_Mountain 2|Spo_NA 2|Spo_Oregon 1|Spo_Parrot 1|Spo_PNW 1|Spo_PNW 2|Spo_PNW Reg 2|Spo_SNARS 2|Spo_TAC 1|Spo_TAC 2|Spo_TAC 3|Spo_TAC 310|Spo_TAC 311|Spo_TAC 312|Spo_TAC 313|Spo_TAC 314|Spo_TAC 315|Spo_TAC 316|Spo_TAC 317|Spo_TAC 318|Spo_TAC 319|Spo_USA 2|Spo_Wash 1|Spo_Wash 2","Spo_CascadesEast","Spo_Wash 2"
"47","Sultan-Haystack","Hay I-5|Hay Idaho 1|Hay Local 1|Hay Local 2|Hay Oregon 1|Hay Parrot 1|Hay PNW 2|Hay TAC 1|Hay TAC 2|Hay TAC 3|Hay TAC 310|Hay TAC 311|Hay TAC 312|Hay Wash 1|Hay Wash 2","Hay Wash 1","Hay Wash 2"
"48","Tacoma-Baldi","Baldi Audio Test|Baldi BC 1|Baldi Bridge 2|Baldi California|Baldi Canada 2|Baldi Comm 1|Baldi Comm 2|Baldi DCI 1|Baldi DCI 2|Baldi Fusion 2|Baldi Hawaii 1|Baldi I-5|Baldi Idaho 1|Baldi Local 1|Baldi Local 2|Baldi Michigan 1|Baldi Monana 2|Baldi Mountain 2|Baldi NA 2|Baldi Net 2|Baldi Oregon 1|Baldi Parrot|Baldi PNW 1|Baldi PNW 2|Baldi PNW Reg 2|Baldi SNARS 2|Baldi TAC 1|Baldi TAC 2|Baldi TAC 3|Baldi TAC 310|Baldi TAC 311|Baldi TAC 312|Baldi TAC 313|Baldi TAC 314|Baldi TAC 315|Baldi TAC 316|Baldi TAC 317|Baldi TAC 318|Baldi TAC 319|Baldi TAC Eng 2|Baldi USA 2|Baldi Wash 1|Baldi Wash 2|Baldi WW 2|Baldi WW Eng 2","Baldi Wash 1","Baldi Wash 2"
"49","Tacoma-Ruston","Ruston Aud Test|Ruston BC 1|Ruston Bridge 2|Ruston Cal 1|Ruston Canada 2|Ruston Comm 1|Ruston DCI 1|Ruston DCI 2|Ruston Fusion 2|Ruston Hawaii 1|Ruston I-5|Ruston Idaho 1|Ruston Local 1|Ruston Local 2|Ruston Montana 2|Ruston NA 2|Ruston Net 2|Ruston Oregon 1|Ruston Parrot 1|Ruston PNW 1|Ruston PNW 2|Ruston PNW Reg 2|Ruston SNARS 2|Ruston TAC 1|Ruston TAC 2|Ruston TAC 3|Ruston TAC 310|Ruston TAC 311|Ruston TAC 312|Ruston TAC 313|Ruston TAC 314|Ruston TAC 315|Ruston TAC 316|Ruston TAC 317|Ruston TAC 318|Ruston TAC 319|Ruston TAC Eng 2|Ruston USA 2|Ruston Wash 1|Ruston Wash 2|Ruston WW 2|Ruston WW Eng 2","Ruston Wash 1","Ruston Wash 2"
"50","Tri-Cities VHF","TC BC 1|TC California 1|TC Canada 2|TC Cascades East|TC Comm 1|TC Comm 2|TC Idaho 1|TC Local 1|TC Local 2|TC Montana 2|TC Mountain 2|TC NA 2|TC Oregon 1|TC Parrot 1|TC PNW 1|TC PNW 2|TC PNW Reg 2|TC TAC 1|TC TAC 2|TC TAC 3|TC TAC 310|TC TAC 311|TC TAC 312|TC TAC 313|TC TAC 314|TC TAC 315|TC TAC 316|TC TAC 317|TC TAC 318|TC TAC 319|TC TAC Eng 2|TC USA 2|TC Wash 1 VHF|TC Wash 2 VHF|TC WW Eng 2","TC Cascades East","TC Wash 2 VHF"
"51","Vancouv-Larch U","Van I-5|Van Local 1|Van Local 2|Van Oregon 1|Van Parrot 1|Van PNW 1|Van PNW 2|Van TAC 310|Van Wash 1|Van Wash 2","Van Wash 1","Van Wash 2"
